rose,गुलाब
be,होना
to,को
of,का
and,और
a,ए
in,में
that,वह
have,पास
I,मैं
it,यह
for,के लिए
not,नहीं
on,पर
with,साथ
he,वह
as,जैसा
you,आप
do,करना
at,पर
this,यह
but,लेकिन
his,उसका
by,द्वारा
from,से
they,वे
we,हम
say,कहना
her,उसका
she,वह
or,या
an,एक
will,इच्छा
my,मेरा
one,एक
all,सभी
would,चाहेंगे
there,वहाँ
their,उनका
what,क्या
so,इसलिए
up,ऊपर
out,बाहर
if,अगर
about,के बारे में
who,WHO
get,पाना
which,कौन
go,जाना
me,मुझे
when,कब
make,निर्माण
can,कर सकना
like,पसंद
time,समय
no,नहीं
just,अभी
him,उसका
know,जानना
take,लेना
person,व्यक्ति
into,में
year,वर्ष
your,आपका
good,अच्छा
some,कुछ
could,सकना
them,उन्हें
see,देखना
other,अन्य
than,बजाय
then,तब
now,अब
look,देखना
only,केवल
come,आना
its,इसका
over,ऊपर
think,सोचना
also,भी
back,पीछे
after,बाद
use,उपयोग
two,दो
how,कैसे
our,हमारा
work,काम
first,पहला
well,कुंआ
way,रास्ता
even,यहां तक ​​की
new,नया
want,चाहना
because,क्योंकि
any,कोई
these,इन
give,देना
day,दिन
most,अधिकांश
us,हम
